,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
47,SP1,2019-09-22,15:00,Valencia,Leganes,1,1,D,LIG17,LIG10,Valencia,,39.4699075,-0.3762881,80
48,SP1,2019-09-22,17:30,Ath Bilbao,Alaves,2,0,H,LIG1,LIG0,Bilbao,,43.2630126,-2.9349852,67
49,SP1,2019-09-22,20:00,Sevilla,Real Madrid,0,1,A,LIG15,LIG14,Seville,,37.3890924,-5.9844589,78
50,SP1,2019-09-24,18:00,Valladolid,Granada,1,1,D,LIG18,LIG9,Valladolid,,41.652251,-4.724532099999999,65
51,SP1,2019-09-24,19:00,Betis,Levante,3,1,H,LIG4,LIG11,Seville,,37.3890924,-5.9844589,83
52,SP1,2019-09-24,20:00,Barcelona,Villarreal,2,1,H,LIG3,LIG19,Barcelona,,41.3850639,2.1734035,77
53,SP1,2019-09-25,18:00,Leganes,Ath Bilbao,1,1,D,LIG10,LIG1,Leganes,,40.3319506,-3.7686545,72
54,SP1,2019-09-25,18:00,Mallorca,Ath Madrid,0,2,A,LIG12,LIG2,Palma,,39.5696005,2.6501603,77
55,SP1,2019-09-25,19:00,Valencia,Getafe,3,3,D,LIG17,LIG8,Valencia,,39.4699075,-0.3762881,77
56,SP1,2019-09-25,20:00,Real Madrid,Osasuna,2,0,H,LIG14,LIG13,Madrid,,40.4167754,-3.7037902,72
57,SP1,2019-09-26,18:00,Eibar,Sevilla,3,2,H,LIG6,LIG15,Eibar,,43.1827331,-2.4814679,67
58,SP1,2019-09-26,19:00,Celta,Espanol,1,1,D,LIG5,LIG7,Vigo,,42.24059889999999,-8.7207268,62
59,SP1,2019-09-26,20:00,Sociedad,Alaves,3,0,H,LIG16,LIG0,San Sebastian,,43.318334,-1.9812313,67
60,SP1,2019-09-27,20:00,Villarreal,Betis,5,1,H,LIG19,LIG4,Villarreal,,39.9397706,-0.1005932,78
61,SP1,2019-09-28,12:00,Ath Bilbao,Valencia,0,1,A,LIG1,LIG17,Bilbao,,43.2630126,-2.9349852,69
62,SP1,2019-09-28,15:00,Getafe,Barcelona,0,2,A,LIG8,LIG3,Getafe,,40.3082504,-3.7323934,76
63,SP1,2019-09-28,17:30,Granada,Leganes,1,0,H,LIG9,LIG10,Granada,,37.1773363,-3.5985571,78
64,SP1,2019-09-28,20:00,Ath Madrid,Real Madrid,0,0,D,LIG2,LIG14,Madrid,,40.4167754,-3.7037902,78
65,SP1,2019-09-29,11:00,Espanol,Valladolid,0,2,A,LIG7,LIG18,Barcelona,,41.3850639,2.1734035,76
66,SP1,2019-09-29,13:00,Eibar,Celta,2,0,H,LIG6,LIG5,Eibar,,43.1827331,-2.4814679,74
67,SP1,2019-09-29,15:00,Alaves,Mallorca,2,0,H,LIG0,LIG12,Vitoria-Gasteiz,,42.850237,-2.6728711,72
