Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Team ID,Opponent,Attendance
I1,2020-07-07,18:30,Lecce,Lazio,2,1,H,SER9,SER8,Lecce,SER9,Lazio,
I1,2020-07-08,18:30,Fiorentina,Cagliari,0,0,D,SER4,SER3,Florence,SER4,Cagliari,
I1,2020-07-08,20:45,Torino,Brescia,3,1,H,SER17,SER2,Turin,SER17,Brescia,
I1,2020-07-08,20:45,Bologna,Sassuolo,1,2,A,SER1,SER15,Bologna,SER1,Sassuolo,
I1,2020-07-08,20:45,Roma,Parma,2,1,H,SER13,SER12,Rome,SER13,Parma,
I1,2020-07-08,20:45,Atalanta,Sampdoria,2,0,H,SER0,SER14,Bergamo,SER0,Sampdoria,
I1,2020-07-08,18:30,Genoa,Napoli,1,2,A,SER5,SER11,Genoa,SER5,Napoli,
I1,2020-07-09,20:45,Verona,Inter,2,2,D,SER19,SER6,Verona,SER19,Inter Milan,
I1,2020-07-09,18:30,Spal,Udinese,0,3,A,SER16,SER18,Ferrara,SER16,Udinese,
I1,2020-07-11,20:45,Juventus,Atalanta,2,2,D,SER7,SER0,Turin,SER7,Atalanta,
I1,2020-07-11,18:30,Brescia,Roma,0,3,A,SER2,SER13,Brescia,SER2,Roma,
I1,2020-07-11,16:15,Lazio,Sassuolo,1,2,A,SER8,SER15,Rome,SER8,Sassuolo,
I1,2020-07-12,20:45,Napoli,Milan,2,2,D,SER11,SER10,Naples,SER11,AC Milan,
I1,2020-07-12,18:30,Udinese,Sampdoria,1,3,A,SER18,SER14,Udine,SER18,Sampdoria,
I1,2020-07-12,18:30,Parma,Bologna,2,2,D,SER12,SER1,Parma,SER12,Bologna,
I1,2020-07-12,18:30,Cagliari,Lecce,0,0,D,SER3,SER9,Cagliari,SER3,Lecce,
I1,2020-07-12,18:30,Fiorentina,Verona,1,1,D,SER4,SER19,Florence,SER4,Hellas Verona,
I1,2020-07-12,16:15,Genoa,Spal,2,0,H,SER5,SER16,Genoa,SER5,SPAL,
I1,2020-07-13,20:45,Inter,Torino,3,1,H,SER6,SER17,Milan,SER6,Torino,
