Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
I1,6/1/20,14:00,Atalanta,Parma,5,0,H,SER0,SER12,Bergamo,
I1,6/1/20,14:00,Juventus,Cagliari,4,0,H,SER7,SER3,Turin,
I1,6/1/20,14:00,Milan,Sampdoria,0,0,D,SER10,SER14,Milan,
I1,6/1/20,17:00,Lecce,Udinese,0,1,A,SER9,SER18,Lecce,
I1,6/1/20,19:45,Napoli,Inter,1,3,A,SER11,SER6,Naples,
I1,11/1/20,14:00,Cagliari,Milan,0,2,A,SER3,SER10,Cagliari,
I1,11/1/20,17:00,Lazio,Napoli,1,0,H,SER8,SER11,Rome,
I1,11/1/20,19:45,Inter,Atalanta,1,1,D,SER6,SER0,Milan,
I1,12/1/20,11:30,Udinese,Sassuolo,3,0,H,SER18,SER15,Udine,
I1,12/1/20,14:00,Fiorentina,Spal,1,0,H,SER4,SER16,Florence,
I1,12/1/20,14:00,Sampdoria,Brescia,5,1,H,SER14,SER2,Genoa,
I1,12/1/20,14:00,Torino,Bologna,1,0,H,SER17,SER1,Turin,
I1,12/1/20,17:00,Verona,Genoa,2,1,H,SER19,SER5,Verona,
I1,12/1/20,19:45,Roma,Juventus,1,2,A,SER13,SER7,Rome,
I1,13/01/2020,19:45,Parma,Lecce,2,0,H,SER12,SER9,Parma,
I1,18/01/2020,14:00,Lazio,Sampdoria,5,1,H,SER8,SER14,Rome,
I1,18/01/2020,17:00,Sassuolo,Torino,2,1,H,SER15,SER17,Sassuolo,
I1,18/01/2020,19:45,Napoli,Fiorentina,0,2,A,SER11,SER4,Naples,
I1,19/01/2020,11:30,Milan,Udinese,3,2,H,SER10,SER18,Milan,
I1,19/01/2020,14:00,Bologna,Verona,1,1,D,SER1,SER19,Bologna,
I1,19/01/2020,14:00,Brescia,Cagliari,2,2,D,SER2,SER3,Brescia,
I1,19/01/2020,14:00,Lecce,Inter,1,1,D,SER9,SER6,Lecce,
I1,19/01/2020,17:00,Genoa,Roma,1,3,A,SER5,SER13,Genoa,
I1,19/01/2020,19:45,Juventus,Parma,2,1,H,SER7,SER12,Turin,
I1,20/01/2020,19:45,Atalanta,Spal,1,2,A,SER0,SER16,Bergamo,
I1,24/01/2020,19:45,Brescia,Milan,0,1,A,SER2,SER10,Brescia,
I1,25/01/2020,14:00,Spal,Bologna,1,3,A,SER16,SER1,Ferrara,
I1,25/01/2020,17:00,Fiorentina,Genoa,0,0,D,SER4,SER5,Florence,
I1,25/01/2020,19:45,Torino,Atalanta,0,7,A,SER17,SER0,Turin,
I1,26/01/2020,11:30,Inter,Cagliari,1,1,D,SER6,SER3,Milan,
I1,26/01/2020,14:00,Parma,Udinese,2,0,H,SER12,SER18,Parma,
I1,26/01/2020,14:00,Sampdoria,Sassuolo,0,0,D,SER14,SER15,Genoa,
I1,26/01/2020,14:00,Verona,Lecce,3,0,H,SER19,SER9,Verona,
I1,26/01/2020,17:00,Roma,Lazio,1,1,D,SER13,SER8,Rome,
I1,26/01/2020,19:45,Napoli,Juventus,2,1,H,SER11,SER7,Naples,
I1,1/2/20,14:00,Bologna,Brescia,2,1,H,SER1,SER2,Bologna,
I1,1/2/20,17:00,Cagliari,Parma,2,2,D,SER3,SER12,Cagliari,
