,Div,Team,Team ID,Date,Opponent,Attendance
93,E0,Burnley,EPL4,19/10/2019,Leicester City,32105.0
94,E0,Burnley,EPL4,2/11/2019,Sheffield United,31131.0
95,E0,Burnley,EPL4,23/11/2019,Watford,19711.0
96,E0,Burnley,EPL4,7/12/2019,Tottenham Hotspur,58401.0
97,E0,Burnley,EPL4,21/12/2019,AFC Bournemouth,10020.0
98,E0,Burnley,EPL4,26/12/2019,Everton,39177.0
99,E0,Burnley,EPL4,11/1/2020,Chelsea,40396.0
100,E0,Burnley,EPL4,22/1/2020,Manchester United,73198.0
101,E0,Burnley,EPL4,15/2/2020,Southampton,26302.0
102,E0,Burnley,EPL4,29/2/2020,Newcastle United,52219.0
103,E0,Burnley,EPL4,22/6/2020,Manchester City,
104,E0,Burnley,EPL4,29/6/2020,Crystal Palace,
105,E0,Burnley,EPL4,8/7/2020,West Ham United,
106,E0,Burnley,EPL4,11/7/2020,Liverpool,
107,E0,Chelsea,EPL5,11/8/2019,Manchester United,73620.0
108,E0,Chelsea,EPL5,14/8/2019,Liverpool,38434.0
109,E0,Chelsea,EPL5,24/8/2019,Norwich City,27032.0
110,E0,Chelsea,EPL5,14/9/2019,Wolverhampton Wanderers,31534.0
111,E0,Chelsea,EPL5,2/10/2019,Lille,48523.0
112,E0,Chelsea,EPL5,6/10/2019,Southampton,31473.0
113,E0,Chelsea,EPL5,23/10/2019,Ajax,52482.0
114,E0,Chelsea,EPL5,26/10/2019,Burnley,20975.0
115,E0,Chelsea,EPL5,2/11/2019,Watford,21011.0
116,E0,Chelsea,EPL5,23/11/2019,Manchester City,54486.0
117,E0,Chelsea,EPL5,27/11/2019,Valencia,43486.0
118,E0,Chelsea,EPL5,7/12/2019,Everton,39114.0
119,E0,Chelsea,EPL5,22/12/2019,Tottenham Hotspur,61104.0
120,E0,Chelsea,EPL5,29/12/2019,Arsenal,60309.0
121,E0,Chelsea,EPL5,1/1/2020,Brighton & Hove Albion,30559.0
122,E0,Chelsea,EPL5,18/1/2020,Newcastle United,52217.0
123,E0,Chelsea,EPL5,25/1/2020,Hull City,24109.0
124,E0,Chelsea,EPL5,1/2/2020,Leicester City,32186.0
125,E0,Chelsea,EPL5,29/2/2020,AFC Bournemouth,10667.0
126,E0,Chelsea,EPL5,21/6/2020,Aston Villa,
127,E0,Chelsea,EPL5,28/6/2020,Leicester City,
128,E0,Chelsea,EPL5,1/7/2020,West Ham United,
129,E0,Chelsea,EPL5,7/7/2020,Crystal Palace,
130,E0,Chelsea,EPL5,11/7/2020,Sheffield United,
131,E0,Crystal,EPL6,18/8/2019,Sheffield United,30197.0
132,E0,Crystal,EPL6,24/8/2019,Manchester United,73454.0
133,E0,Crystal,EPL6,14/9/2019,Tottenham Hotspur,59812.0
134,E0,Crystal,EPL6,5/10/2019,West Ham United,59912.0
135,E0,Crystal,EPL6,27/10/2019,Arsenal,60345.0
136,E0,Crystal,EPL6,9/11/2019,Chelsea,40525.0
137,E0,Crystal,EPL6,30/11/2019,Burnley,19818.0
138,E0,Crystal,EPL6,7/12/2019,Watford,20070.0
139,E0,Crystal,EPL6,21/12/2019,Newcastle United,45453.0
140,E0,Crystal,EPL6,28/12/2019,Southampton,31108.0
141,E0,Crystal,EPL6,1/1/2020,Norwich City,27021.0
142,E0,Crystal,EPL6,18/1/2020,Manchester City,54439.0
143,E0,Crystal,EPL6,8/2/2020,Everton,38987.0
144,E0,Crystal,EPL6,29/2/2020,Brighton & Hove Albion,
145,E0,Crystal,EPL6,20/6/2020,AFC Bournemouth,
146,E0,Crystal,EPL6,24/6/2020,Liverpool,
147,E0,Crystal,EPL6,4/7/2020,Leicester City,
148,E0,Crystal,EPL6,12/7/2020,Aston Villa,
149,E0,Everton,EPL7,10/8/2019,Crystal Palace,25151.0
150,E0,Everton,EPL7,23/8/2019,Aston Villa,41922.0
151,E0,Everton,EPL7,28/8/2019,Lincoln City,9971.0
