Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
SP1,28/09/2019,20:00,Ath Madrid,Real Madrid,0,0,D,LIG2,LIG14,Madrid,
SP1,29/09/2019,11:00,Espanol,Valladolid,0,2,A,LIG7,LIG18,Barcelona,
SP1,29/09/2019,13:00,Eibar,Celta,2,0,H,LIG6,LIG5,Eibar,
SP1,29/09/2019,15:00,Alaves,Mallorca,2,0,H,LIG0,LIG12,Vitoria-Gasteiz,
SP1,29/09/2019,17:30,Levante,Osasuna,1,1,D,LIG11,LIG13,Valencia,
SP1,29/09/2019,20:00,Sevilla,Sociedad,3,2,H,LIG15,LIG16,Seville,
SP1,4/10/19,20:00,Betis,Eibar,1,1,D,LIG4,LIG6,Seville,
SP1,5/10/19,12:00,Leganes,Levante,1,2,A,LIG10,LIG11,Leganes,
SP1,5/10/19,15:00,Real Madrid,Granada,4,2,H,LIG14,LIG9,Madrid,
SP1,5/10/19,17:30,Valencia,Alaves,2,1,H,LIG17,LIG0,Valencia,
SP1,5/10/19,20:00,Osasuna,Villarreal,2,1,H,LIG13,LIG19,Pamplona,
SP1,6/10/19,11:00,Mallorca,Espanol,2,0,H,LIG12,LIG7,Palma,
SP1,6/10/19,13:00,Celta,Ath Bilbao,1,0,H,LIG5,LIG1,Vigo,
SP1,6/10/19,15:00,Valladolid,Ath Madrid,0,0,D,LIG18,LIG2,Valladolid,
SP1,6/10/19,17:30,Sociedad,Getafe,1,2,A,LIG16,LIG8,San Sebastian,
SP1,6/10/19,20:00,Barcelona,Sevilla,4,0,H,LIG3,LIG15,Barcelona,
SP1,18/10/2019,20:00,Granada,Osasuna,1,0,H,LIG9,LIG13,Granada,
SP1,19/10/2019,12:00,Eibar,Barcelona,0,3,A,LIG6,LIG3,Eibar,
SP1,19/10/2019,15:00,Ath Madrid,Valencia,1,1,D,LIG2,LIG17,Madrid,
SP1,19/10/2019,17:30,Getafe,Leganes,2,0,H,LIG8,LIG10,Getafe,
SP1,19/10/2019,20:00,Mallorca,Real Madrid,1,0,H,LIG12,LIG14,Palma,
SP1,20/10/2019,11:00,Alaves,Celta,2,0,H,LIG0,LIG5,Vitoria-Gasteiz,
SP1,20/10/2019,13:00,Sociedad,Betis,3,1,H,LIG16,LIG4,San Sebastian,
SP1,20/10/2019,15:00,Espanol,Villarreal,0,1,A,LIG7,LIG19,Barcelona,
SP1,20/10/2019,17:30,Ath Bilbao,Valladolid,1,1,D,LIG1,LIG18,Bilbao,
SP1,20/10/2019,20:00,Sevilla,Levante,1,0,H,LIG15,LIG11,Seville,
SP1,25/10/2019,20:00,Villarreal,Alaves,4,1,H,LIG19,LIG0,Villarreal,
SP1,26/10/2019,15:00,Leganes,Mallorca,1,0,H,LIG10,LIG12,Leganes,
