League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
La Liga,Celta Vigo,"17,415","208,984","23,566","11,932",2019/20,La Liga|Celta Vigo|2019/20
La Liga,Villarreal,"16,552","198,622","20,128","12,053",2019/20,La Liga|Villarreal|2019/20
La Liga,Granada CF,"16,329","195,942","18,985","14,127",2019/20,La Liga|Granada CF|2019/20
La Liga,CD Alaves,"16,205","194,460","19,357","12,029",2019/20,La Liga|CD Alaves|2019/20
La Liga,RCD Mallorca,"14,782","192,169","20,275","8,348",2019/20,La Liga|RCD Mallorca|2019/20
La Liga,Osasuna,"15,584","187,010","17,000","13,978",2019/20,La Liga|Osasuna|2019/20
La Liga,Getafe,"11,424","137,087","15,426","6,535",2019/20,La Liga|Getafe|2019/20
La Liga,Eibar,"6,069","66,757","7,295","5,341",2019/20,La Liga|Eibar|2019/20
Serie A,Internazionale,"65,170","521,362","75,923","57,490",2019/20,Serie A|Internazionale|2019/20
Serie A,AC Milan,"57,494","344,965","70,440","48,367",2019/20,Serie A|AC Milan|2019/20
Serie A,Fiorentina,"35,322","282,577","40,312","32,903",2019/20,Serie A|Fiorentina|2019/20
Serie A,AS Roma,"40,037","280,262","59,902","33,695",2019/20,Serie A|AS Roma|2019/20
Serie A,Juventus,"39,295","275,065","40,597","37,790",2019/20,Serie A|Juventus|2019/20
Serie A,Torino,"20,845","166,757","26,059","16,536",2019/20,Serie A|Torino|2019/20
Serie A,Udinese,"21,344","149,408","24,584","19,611",2019/20,Serie A|Udinese|2019/20
Serie A,Sampdoria,"20,593","144,154","23,694","19,041",2019/20,Serie A|Sampdoria|2019/20
Serie A,Lecce,"23,329","139,971","26,044","21,644",2019/20,Serie A|Lecce|2019/20
Serie A,Bologna,"23,153","138,917","25,513","21,277",2019/20,Serie A|Bologna|2019/20
Serie A,SS Lazio,"43,333","130,000","60,000","30,000",2019/20,Serie A|SS Lazio|2019/20
Serie A,Hellas Verona,"18,177","127,240","24,363","14,612",2019/20,Serie A|Hellas Verona|2019/20
Serie A,Napoli,"31,590","126,360","39,111","27,083",2019/20,Serie A|Napoli|2019/20
Serie A,Atalanta,"16,918","118,428","20,940","10,000",2019/20,Serie A|Atalanta|2019/20
Serie A,Cagliari,"15,842","110,896","16,412","14,574",2019/20,Serie A|Cagliari|2019/20
Serie A,Genoa,"24,373","97,490","30,658","20,951",2019/20,Serie A|Genoa|2019/20
Serie A,Parma,"16,702","83,508","20,073","14,068",2019/20,Serie A|Parma|2019/20
Serie A,SPAL,"12,526","75,157","13,650","11,617",2019/20,Serie A|SPAL|2019/20
Serie A,Sassuolo,"11,838","59,192","13,411","9,608",2019/20,Serie A|Sassuolo|2019/20
Serie A,Brescia,"14,710","44,131","16,000","13,131",2019/20,Serie A|Brescia|2019/20
