Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Team ID,Opponent,Attendance
D1,2019-09-21,14:30,Leverkusen,Union Berlin,2,0,H,BUN9,BUN15,Leverkusen,BUN9,1. FC Union Berlin,"27,430"
D1,2019-09-21,17:30,Werder Bremen,RB Leipzig,0,3,A,BUN16,BUN13,Bremen,BUN16,RB Leipzig,"40,550"
D1,2019-09-21,14:30,Freiburg,Augsburg,1,1,D,BUN6,BUN0,Freiburg,BUN6,FC Augsburg,"23,800"
D1,2019-09-21,14:30,Bayern Munich,FC Koln,4,0,H,BUN1,BUN4,Munich,BUN1,1. FC Köln,"75,000"
D1,2019-09-22,14:30,M'gladbach,Fortuna Dusseldorf,2,1,H,BUN11,BUN5,Monchengladbach,BUN11,Fortuna Düsseldorf,"52,413"
D1,2019-09-22,17:00,Ein Frankfurt,Dortmund,2,2,D,BUN3,BUN2,Frankfurt,BUN3,Borussia Dortmund,"51,500"
D1,2019-09-23,19:30,Wolfsburg,Hoffenheim,1,1,D,BUN17,BUN8,Wolfsburg,BUN17,1899 Hoffenheim,"21,120"
D1,2019-09-27,19:30,Union Berlin,Ein Frankfurt,1,2,A,BUN15,BUN3,Berlin,BUN15,Eintracht Frankfurt,"22,012"
D1,2019-09-28,14:30,Paderborn,Bayern Munich,2,3,A,BUN12,BUN1,Paderborn,BUN12,Bayern Munich,"15,000"
D1,2019-09-28,14:30,Mainz,Wolfsburg,0,1,A,BUN10,BUN17,Mainz,BUN10,VfL Wolfsburg,"24,303"
D1,2019-09-28,14:30,Augsburg,Leverkusen,0,3,A,BUN0,BUN9,Augsburg,BUN0,Bayer 04 Leverkusen,"27,113"
D1,2019-09-28,14:30,RB Leipzig,Schalke 04,1,3,A,BUN13,BUN14,Leipzig,BUN13,FC Schalke 04,"42,146"
D1,2019-09-28,17:30,Dortmund,Werder Bremen,2,2,D,BUN2,BUN16,Dortmund,BUN2,Werder Bremen,"81,365"
D1,2019-09-28,14:30,Hoffenheim,M'gladbach,0,3,A,BUN8,BUN11,Sinsheim,BUN8,Borussia Mönchengladbach,"29,030"
D1,2019-09-29,14:30,Fortuna Dusseldorf,Freiburg,1,2,A,BUN5,BUN6,Dusseldorf,BUN5,SC Freiburg,"39,244"
D1,2019-09-29,17:00,FC Koln,Hertha,0,4,A,BUN4,BUN7,Cologne,BUN4,Hertha Berlin,"49,700"
D1,2019-10-04,19:30,Hertha,Fortuna Dusseldorf,3,1,H,BUN7,BUN5,Berlin,BUN7,Fortuna Düsseldorf,"37,128"
D1,2019-10-05,14:30,Freiburg,Dortmund,2,2,D,BUN6,BUN2,Freiburg,BUN6,Borussia Dortmund,"24,000"
D1,2019-10-05,14:30,Bayern Munich,Hoffenheim,1,2,A,BUN1,BUN8,Munich,BUN1,1899 Hoffenheim,"75,000"
D1,2019-10-05,14:30,Leverkusen,RB Leipzig,1,1,D,BUN9,BUN13,Leverkusen,BUN9,RB Leipzig,"26,355"
D1,2019-10-05,17:30,Schalke 04,FC Koln,1,1,D,BUN14,BUN4,Gelsenkirchen,BUN14,1. FC KÃ¶ln,"61,883"
D1,2019-10-05,14:30,Paderborn,Mainz,1,2,A,BUN12,BUN10,Paderborn,BUN12,Mainz 05,"14,217"
D1,2019-10-06,12:30,M'gladbach,Augsburg,5,1,H,BUN11,BUN0,Monchengladbach,BUN11,FC Augsburg,"50,352"
D1,2019-10-06,17:00,Ein Frankfurt,Werder Bremen,2,2,D,BUN3,BUN16,Frankfurt,BUN3,Werder Bremen,"51,500"
D1,2019-10-06,14:30,Wolfsburg,Union Berlin,1,0,H,BUN17,BUN15,Wolfsburg,BUN17,1. FC Union Berlin,"27,012"
D1,2019-10-18,19:30,Ein Frankfurt,Leverkusen,3,0,H,BUN3,BUN9,Frankfurt,BUN3,Bayer 04 Leverkusen,"50,800"
D1,2019-10-19,14:30,RB Leipzig,Wolfsburg,1,1,D,BUN13,BUN17,Leipzig,BUN13,VfL Wolfsburg,"39,182"
D1,2019-10-19,14:30,Werder Bremen,Hertha,1,1,D,BUN16,BUN7,Bremen,BUN16,Hertha Berlin,"41,447"
D1,2019-10-19,17:30,Dortmund,M'gladbach,1,0,H,BUN2,BUN11,Dortmund,BUN2,Borussia Mönchengladbach,"81,365"
D1,2019-10-19,14:30,Fortuna Dusseldorf,Mainz,1,0,H,BUN5,BUN10,Dusseldorf,BUN5,Mainz 05,"40,660"
D1,2019-10-19,14:30,Union Berlin,Freiburg,2,0,H,BUN15,BUN6,Berlin,BUN15,SC Freiburg,"22,012"
D1,2019-10-19,14:30,Augsburg,Bayern Munich,2,2,D,BUN0,BUN1,Augsburg,BUN0,Bayern Munich,"30,660"
D1,2019-10-20,17:00,Hoffenheim,Schalke 04,2,0,H,BUN8,BUN14,Sinsheim,BUN8,FC Schalke 04,"29,477"
D1,2019-10-20,14:30,FC Koln,Paderborn,3,0,H,BUN4,BUN12,Cologne,BUN4,SC Paderborn 07,"50,000"
D1,2019-10-25,19:30,Mainz,FC Koln,3,1,H,BUN10,BUN4,Mainz,BUN10,1. FC Köln,"31,999"
D1,2019-10-26,14:30,Bayern Munich,Union Berlin,2,1,H,BUN1,BUN15,Munich,BUN1,1. FC Union Berlin,"75,000"
D1,2019-10-26,14:30,Paderborn,Fortuna Dusseldorf,2,0,H,BUN12,BUN5,Paderborn,BUN12,Fortuna Düsseldorf,"14,182"
D1,2019-10-26,17:30,Leverkusen,Werder Bremen,2,2,D,BUN9,BUN16,Leverkusen,BUN9,Werder Bremen,"30,210"
D1,2019-10-26,14:30,Freiburg,RB Leipzig,2,1,H,BUN6,BUN13,Freiburg,BUN6,RB Leipzig,"24,000"
D1,2019-10-26,14:30,Hertha,Hoffenheim,2,3,A,BUN7,BUN8,Berlin,BUN7,1899 Hoffenheim,"44,702"
D1,2019-10-26,14:30,Schalke 04,Dortmund,0,0,D,BUN14,BUN2,Gelsenkirchen,BUN14,Borussia Dortmund,"61,873"
D1,2019-10-27,17:00,M'gladbach,Ein Frankfurt,4,2,H,BUN11,BUN3,Monchengladbach,BUN11,Eintracht Frankfurt,"52,300"
D1,2019-10-27,14:30,Wolfsburg,Augsburg,0,0,D,BUN17,BUN0,Wolfsburg,BUN17,FC Augsburg,"22,630"
D1,2019-11-01,19:30,Hoffenheim,Paderborn,3,0,H,BUN8,BUN12,Sinsheim,BUN8,SC Paderborn 07,"23,629"
D1,2019-11-02,17:30,Union Berlin,Hertha,1,0,H,BUN15,BUN7,Berlin,BUN15,Hertha Berlin,"22,012"
D1,2019-11-02,14:30,Leverkusen,M'gladbach,1,2,A,BUN9,BUN11,Leverkusen,BUN9,Borussia Mönchengladbach,"30,210"
D1,2019-11-02,14:30,Dortmund,Wolfsburg,3,0,H,BUN2,BUN17,Dortmund,BUN2,VfL Wolfsburg,"80,200"
D1,2019-11-02,14:30,Werder Bremen,Freiburg,2,2,D,BUN16,BUN6,Bremen,BUN16,SC Freiburg,"41,000"
D1,2019-11-02,14:30,RB Leipzig,Mainz,8,0,H,BUN13,BUN10,Leipzig,BUN13,Mainz 05,"38,517"
D1,2019-11-02,14:30,Ein Frankfurt,Bayern Munich,5,1,H,BUN3,BUN1,Frankfurt,BUN3,Bayern Munich,"51,500"
D1,2019-11-03,17:00,Augsburg,Schalke 04,2,3,A,BUN0,BUN14,Augsburg,BUN0,FC Schalke 04,"30,361"
D1,2019-11-03,14:30,Fortuna Dusseldorf,FC Koln,2,0,H,BUN5,BUN4,Dusseldorf,BUN5,1. FC Köln,"51,155"
D1,2019-11-08,19:30,FC Koln,Hoffenheim,1,2,A,BUN4,BUN8,Cologne,BUN4,1899 Hoffenheim,"49,100"
D1,2019-11-09,14:30,Hertha,RB Leipzig,2,4,A,BUN7,BUN13,Berlin,BUN7,RB Leipzig,"48,532"
D1,2019-11-09,14:30,Mainz,Union Berlin,2,3,A,BUN10,BUN15,Mainz,BUN10,1. FC Union Berlin,"24,349"
D1,2019-11-09,14:30,Paderborn,Augsburg,0,1,A,BUN12,BUN0,Paderborn,BUN12,FC Augsburg,"13,758"
D1,2019-11-09,17:30,Bayern Munich,Dortmund,4,0,H,BUN1,BUN2,Munich,BUN1,Borussia Dortmund,"75,000"
D1,2019-11-09,14:30,Schalke 04,Fortuna Dusseldorf,3,3,D,BUN14,BUN5,Gelsenkirchen,BUN14,Fortuna DÃ¼sseldorf,"61,831"
D1,2019-11-10,14:30,Wolfsburg,Leverkusen,0,2,A,BUN17,BUN9,Wolfsburg,BUN17,Bayer 04 Leverkusen,"24,112"
D1,2019-11-10,12:30,M'gladbach,Werder Bremen,3,1,H,BUN11,BUN16,Monchengladbach,BUN11,Werder Bremen,"54,022"
D1,2019-11-10,17:00,Freiburg,Ein Frankfurt,1,0,H,BUN6,BUN3,Freiburg,BUN6,Eintracht Frankfurt,"24,000"
D1,2019-11-22,19:30,Dortmund,Paderborn,3,3,D,BUN2,BUN12,Dortmund,BUN2,SC Paderborn 07,"81,365"
D1,2019-11-23,14:30,Union Berlin,M'gladbach,2,0,H,BUN15,BUN11,Berlin,BUN15,Borussia Mönchengladbach,"22,012"
D1,2019-11-23,14:30,Fortuna Dusseldorf,Bayern Munich,0,4,A,BUN5,BUN1,Dusseldorf,BUN5,Bayern Munich,"53,000"
D1,2019-11-23,17:30,RB Leipzig,FC Koln,4,1,H,BUN13,BUN4,Leipzig,BUN13,1. FC Köln,"42,036"
D1,2019-11-23,14:30,Werder Bremen,Schalke 04,1,2,A,BUN16,BUN14,Bremen,BUN16,FC Schalke 04,"42,100"
D1,2019-11-23,14:30,Ein Frankfurt,Wolfsburg,0,2,A,BUN3,BUN17,Frankfurt,BUN3,VfL Wolfsburg,"50,700"
D1,2019-11-23,14:30,Leverkusen,Freiburg,1,1,D,BUN9,BUN6,Leverkusen,BUN9,SC Freiburg,"29,032"
D1,2019-11-24,14:30,Augsburg,Hertha,4,0,H,BUN0,BUN7,Augsburg,BUN0,Hertha Berlin,"29,233"
D1,2019-11-24,17:00,Hoffenheim,Mainz,1,5,A,BUN8,BUN10,Sinsheim,BUN8,Mainz 05,"23,129"
D1,2019-11-29,19:30,Schalke 04,Union Berlin,2,1,H,BUN14,BUN15,Gelsenkirchen,BUN14,1. FC Union Berlin,"61,837"
D1,2019-11-30,14:30,Hoffenheim,Fortuna Dusseldorf,1,1,D,BUN8,BUN5,Sinsheim,BUN8,Fortuna Düsseldorf,"25,427"
D1,2019-11-30,17:30,Bayern Munich,Leverkusen,1,2,A,BUN1,BUN9,Munich,BUN1,Bayer 04 Leverkusen,"75,000"
D1,2019-11-30,14:30,Hertha,Dortmund,1,2,A,BUN7,BUN2,Berlin,BUN7,Borussia Dortmund,"74,667"
D1,2019-11-30,14:30,Paderborn,RB Leipzig,2,3,A,BUN12,BUN13,Paderborn,BUN12,RB Leipzig,"13,253"
D1,2019-11-30,14:30,FC Koln,Augsburg,1,1,D,BUN4,BUN0,Cologne,BUN4,FC Augsburg,"49,200"
D1,2019-12-01,14:30,M'gladbach,Freiburg,4,2,H,BUN11,BUN6,Monchengladbach,BUN11,SC Freiburg,"51,080"
D1,2019-12-01,17:00,Wolfsburg,Werder Bremen,2,3,A,BUN17,BUN16,Wolfsburg,BUN17,Werder Bremen,"26,012"
D1,2019-12-02,19:30,Mainz,Ein Frankfurt,2,1,H,BUN10,BUN3,Mainz,BUN10,Eintracht Frankfurt,"33,134"
D1,2019-12-06,19:30,Ein Frankfurt,Hertha,2,2,D,BUN3,BUN7,Frankfurt,BUN3,Hertha Berlin,"50,000"
D1,2019-12-07,14:30,Augsburg,Mainz,2,1,H,BUN0,BUN10,Augsburg,BUN0,Mainz 05,"26,950"
D1,2019-12-07,14:30,Freiburg,Wolfsburg,1,0,H,BUN6,BUN17,Freiburg,BUN6,VfL Wolfsburg,"23,800"
D1,2019-12-07,14:30,M'gladbach,Bayern Munich,2,1,H,BUN11,BUN1,Monchengladbach,BUN11,Bayern Munich,"54,022"
D1,2019-12-07,14:30,RB Leipzig,Hoffenheim,3,1,H,BUN13,BUN8,Leipzig,BUN13,1899 Hoffenheim,"38,407"
D1,2019-12-07,14:30,Dortmund,Fortuna Dusseldorf,5,0,H,BUN2,BUN5,Dortmund,BUN2,Fortuna Düsseldorf,"81,365"
D1,2019-12-07,17:30,Leverkusen,Schalke 04,2,1,H,BUN9,BUN14,Leverkusen,BUN9,FC Schalke 04,"30,210"
D1,2019-12-08,14:30,Union Berlin,FC Koln,2,0,H,BUN15,BUN4,Berlin,BUN15,1. FC Köln,"22,012"
D1,2019-12-08,17:00,Werder Bremen,Paderborn,0,1,A,BUN16,BUN12,Bremen,BUN16,SC Paderborn 07,"39,870"
D1,2019-12-13,19:30,Hoffenheim,Augsburg,2,4,A,BUN8,BUN0,Sinsheim,BUN8,FC Augsburg,"23,309"
D1,2019-12-14,14:30,Hertha,Freiburg,1,0,H,BUN7,BUN6,Berlin,BUN7,SC Freiburg,"37,343"
D1,2019-12-14,14:30,Paderborn,Union Berlin,1,1,D,BUN12,BUN15,Paderborn,BUN12,1. FC Union Berlin,"14,414"
D1,2019-12-14,14:30,Bayern Munich,Werder Bremen,6,1,H,BUN1,BUN16,Munich,BUN1,Werder Bremen,"75,000"
D1,2019-12-14,14:30,Mainz,Dortmund,0,4,A,BUN10,BUN2,Mainz,BUN10,Borussia Dortmund,"33,305"
D1,2019-12-14,14:30,FC Koln,Leverkusen,2,0,H,BUN4,BUN9,Cologne,BUN4,Bayer 04 Leverkusen,"49,500"
D1,2019-12-14,17:30,Fortuna Dusseldorf,RB Leipzig,0,3,A,BUN5,BUN13,Dusseldorf,BUN5,RB Leipzig,"35,387"
D1,2019-12-15,17:00,Schalke 04,Ein Frankfurt,1,0,H,BUN14,BUN3,Gelsenkirchen,BUN14,Eintracht Frankfurt,"60,811"
D1,2019-12-15,14:30,Wolfsburg,M'gladbach,2,1,H,BUN17,BUN11,Wolfsburg,BUN17,Borussia Mönchengladbach,"25,580"
D1,2019-12-17,19:30,Dortmund,RB Leipzig,3,3,D,BUN2,BUN13,Dortmund,BUN2,RB Leipzig,"80,200"
D1,2019-12-17,19:30,Union Berlin,Hoffenheim,0,2,A,BUN15,BUN8,Berlin,BUN15,1899 Hoffenheim,"20,350"
D1,2019-12-17,19:30,Augsburg,Fortuna Dusseldorf,3,0,H,BUN0,BUN5,Augsburg,BUN0,Fortuna Düsseldorf,"27,763"
D1,2019-12-17,17:30,Werder Bremen,Mainz,0,5,A,BUN16,BUN10,Bremen,BUN16,Mainz 05,"37,720"
D1,2019-12-18,19:30,Freiburg,Bayern Munich,1,3,A,BUN6,BUN1,Freiburg,BUN6,Bayern Munich,"24,000"
D1,2019-12-18,19:30,Wolfsburg,Schalke 04,1,1,D,BUN17,BUN14,Wolfsburg,BUN17,FC Schalke 04,"24,651"
D1,2019-12-18,19:30,Ein Frankfurt,FC Koln,2,4,A,BUN3,BUN4,Frankfurt,BUN3,1. FC Köln,"50,300"
D1,2019-12-18,19:30,M'gladbach,Paderborn,2,0,H,BUN11,BUN12,Monchengladbach,BUN11,SC Paderborn 07,"44,494"
D1,2019-12-18,17:30,Leverkusen,Hertha,0,1,A,BUN9,BUN7,Leverkusen,BUN9,Hertha Berlin,"24,472"
D1,2019-12-20,19:30,Hoffenheim,Dortmund,2,1,H,BUN8,BUN2,Sinsheim,BUN8,Borussia Dortmund,"30,150"
D1,2019-12-21,14:30,FC Koln,Werder Bremen,1,0,H,BUN4,BUN16,Cologne,BUN4,Werder Bremen,"50,000"
D1,2019-12-21,14:30,Mainz,Leverkusen,0,1,A,BUN10,BUN9,Mainz,BUN10,Bayer 04 Leverkusen,"24,345"
D1,2019-12-21,17:30,Hertha,M'gladbach,0,0,D,BUN7,BUN11,Berlin,BUN7,Borussia Mönchengladbach,"50,208"
D1,2019-12-21,14:30,RB Leipzig,Augsburg,3,1,H,BUN13,BUN0,Leipzig,BUN13,FC Augsburg,"40,562"
D1,2019-12-21,14:30,Schalke 04,Freiburg,2,2,D,BUN14,BUN6,Gelsenkirchen,BUN14,SC Freiburg,"61,867"
D1,2019-12-21,14:30,Bayern Munich,Wolfsburg,2,0,H,BUN1,BUN17,Munich,BUN1,VfL Wolfsburg,"75,000"
D1,2019-12-22,17:00,Paderborn,Ein Frankfurt,2,1,H,BUN12,BUN3,Paderborn,BUN12,Eintracht Frankfurt,"15,000"
D1,2019-12-22,14:30,Fortuna Dusseldorf,Union Berlin,2,1,H,BUN5,BUN15,Dusseldorf,BUN5,1. FC Union Berlin,"45,490"
D1,2020-01-17,19:30,Schalke 04,M'gladbach,2,0,H,BUN14,BUN11,Gelsenkirchen,BUN14,Borussia MÃ¶nchengladbach,"62,271"
