,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
45,D1,2019-09-27,19:30,Union Berlin,Ein Frankfurt,1,2,A,BUN15,BUN3,Berlin,,52.52000659999999,13.404954,61
46,D1,2019-09-28,14:30,Augsburg,Leverkusen,0,3,A,BUN0,BUN9,Augsburg,,48.3705449,10.89779,58
47,D1,2019-09-28,14:30,Hoffenheim,Gladbach,0,3,A,BUN8,BUN11,Sinsheim,,49.2488637,8.8884905,61
48,D1,2019-09-28,14:30,Mainz,Wolfsburg,0,1,A,BUN10,BUN17,Mainz,,49.9928617,8.2472526,60
49,D1,2019-09-28,14:30,Paderborn,Bayern Munich,2,3,A,BUN12,BUN1,Paderborn,,51.7189205,8.757509299999999,58
50,D1,2019-09-28,14:30,RB Leipzig,Schalke 04,1,3,A,BUN13,BUN14,Leipzig,,51.3396955,12.3730747,61
51,D1,2019-09-28,17:30,Dortmund,Werder Bremen,2,2,D,BUN2,BUN16,Dortmund,,51.5135872,7.465298100000001,59
52,D1,2019-09-29,14:30,Fortuna Dusseldorf,Freiburg,1,2,A,BUN5,BUN6,Dusseldorf,,51.2277411,6.7734556,62
53,D1,2019-09-29,17:00,FC Koln,Hertha,0,4,A,BUN4,BUN7,Cologne,,50.937531,6.9602786,62
54,D1,2019-10-04,19:30,Hertha,Fortuna Dusseldorf,3,1,H,BUN7,BUN5,Berlin,,52.52000659999999,13.404954,51
55,D1,2019-10-05,14:30,Bayern Munich,Hoffenheim,1,2,A,BUN1,BUN8,Munich,,48.1351253,11.5819805,52
56,D1,2019-10-05,14:30,Freiburg,Dortmund,2,2,D,BUN6,BUN2,Freiburg,,47.9990077,7.842104299999999,54
57,D1,2019-10-05,14:30,Leverkusen,RB Leipzig,1,1,D,BUN9,BUN13,Leverkusen,,51.04592479999999,7.0192196,55
58,D1,2019-10-05,14:30,Paderborn,Mainz,1,2,A,BUN12,BUN10,Paderborn,,51.7189205,8.757509299999999,50
59,D1,2019-10-05,17:30,Schalke 04,FC Koln,1,1,D,BUN14,BUN4,Gelsenkirchen,,51.517744,7.085717199999999,54
60,D1,2019-10-06,12:30,Gladbach,Augsburg,5,1,H,BUN11,BUN0,Monchengladbach,,51.1804572,6.4428041,47
61,D1,2019-10-06,14:30,Wolfsburg,Union Berlin,1,0,H,BUN17,BUN15,Wolfsburg,,52.4226503,10.7865461,47
62,D1,2019-10-06,17:00,Ein Frankfurt,Werder Bremen,2,2,D,BUN3,BUN16,Frankfurt,,50.1109221,8.6821267,47
63,D1,2019-10-18,19:30,Ein Frankfurt,Leverkusen,3,0,H,BUN3,BUN9,Frankfurt,,50.1109221,8.6821267,59
64,D1,2019-10-19,14:30,Augsburg,Bayern Munich,2,2,D,BUN0,BUN1,Augsburg,,48.3705449,10.89779,56
65,D1,2019-10-19,14:30,Fortuna Dusseldorf,Mainz,1,0,H,BUN5,BUN10,Dusseldorf,,51.2277411,6.7734556,58
66,D1,2019-10-19,14:30,RB Leipzig,Wolfsburg,1,1,D,BUN13,BUN17,Leipzig,,51.3396955,12.3730747,57
67,D1,2019-10-19,14:30,Union Berlin,Freiburg,2,0,H,BUN15,BUN6,Berlin,,52.52000659999999,13.404954,57
68,D1,2019-10-19,14:30,Werder Bremen,Hertha,1,1,D,BUN16,BUN7,Bremen,,53.07929619999999,8.8016936,55
69,D1,2019-10-19,17:30,Dortmund,Gladbach,1,0,H,BUN2,BUN11,Dortmund,,51.5135872,7.465298100000001,57
70,D1,2019-10-20,14:30,FC Koln,Paderborn,3,0,H,BUN4,BUN12,Cologne,,50.937531,6.9602786,56
71,D1,2019-10-20,17:00,Hoffenheim,Schalke 04,2,0,H,BUN8,BUN14,Sinsheim,,49.2488637,8.8884905,63
72,D1,2019-10-25,19:30,Mainz,FC Koln,3,1,H,BUN10,BUN4,Mainz,,49.9928617,8.2472526,58
73,D1,2019-10-26,14:30,Bayern Munich,Union Berlin,2,1,H,BUN1,BUN15,Munich,,48.1351253,11.5819805,61
74,D1,2019-10-26,14:30,Freiburg,RB Leipzig,2,1,H,BUN6,BUN13,Freiburg,,47.9990077,7.842104299999999,61
75,D1,2019-10-26,14:30,Hertha,Hoffenheim,2,3,A,BUN7,BUN8,Berlin,,52.52000659999999,13.404954,61
76,D1,2019-10-26,14:30,Paderborn,Fortuna Dusseldorf,2,0,H,BUN12,BUN5,Paderborn,,51.7189205,8.757509299999999,60
77,D1,2019-10-26,14:30,Schalke 04,Dortmund,0,0,D,BUN14,BUN2,Gelsenkirchen,,51.517744,7.085717199999999,64
78,D1,2019-10-26,17:30,Leverkusen,Werder Bremen,2,2,D,BUN9,BUN16,Leverkusen,,51.04592479999999,7.0192196,63
79,D1,2019-10-27,14:30,Wolfsburg,Augsburg,0,0,D,BUN17,BUN0,Wolfsburg,,52.4226503,10.7865461,52
80,D1,2019-10-27,17:00,Gladbach,Ein Frankfurt,4,2,H,BUN11,BUN3,Monchengladbach,,51.1804572,6.4428041,51
81,D1,2019-11-01,19:30,Hoffenheim,Paderborn,3,0,H,BUN8,BUN12,Sinsheim,,49.2488637,8.8884905,49
82,D1,2019-11-02,14:30,Dortmund,Wolfsburg,3,0,H,BUN2,BUN17,Dortmund,,51.5135872,7.465298100000001,57
83,D1,2019-11-02,14:30,Ein Frankfurt,Bayern Munich,5,1,H,BUN3,BUN1,Frankfurt,,50.1109221,8.6821267,58
84,D1,2019-11-02,14:30,Leverkusen,Gladbach,1,2,A,BUN9,BUN11,Leverkusen,,51.04592479999999,7.0192196,58
85,D1,2019-11-02,14:30,RB Leipzig,Mainz,8,0,H,BUN13,BUN10,Leipzig,,51.3396955,12.3730747,57
86,D1,2019-11-02,14:30,Werder Bremen,Freiburg,2,2,D,BUN16,BUN6,Bremen,,53.07929619999999,8.8016936,55
87,D1,2019-11-02,17:30,Union Berlin,Hertha,1,0,H,BUN15,BUN7,Berlin,,52.52000659999999,13.404954,55
88,D1,2019-11-03,14:30,Fortuna Dusseldorf,FC Koln,2,0,H,BUN5,BUN4,Dusseldorf,,51.2277411,6.7734556,55
89,D1,2019-11-03,17:00,Augsburg,Schalke 04,2,3,A,BUN0,BUN14,Augsburg,,48.3705449,10.89779,51
90,D1,2019-11-08,19:30,FC Koln,Hoffenheim,1,2,A,BUN4,BUN8,Cologne,,50.937531,6.9602786,46
91,D1,2019-11-09,14:30,Hertha,RB Leipzig,2,4,A,BUN7,BUN13,Berlin,,52.52000659999999,13.404954,46
92,D1,2019-11-09,14:30,Mainz,Union Berlin,2,3,A,BUN10,BUN15,Mainz,,49.9928617,8.2472526,44
93,D1,2019-11-09,14:30,Paderborn,Augsburg,0,1,A,BUN12,BUN0,Paderborn,,51.7189205,8.757509299999999,42
94,D1,2019-11-09,14:30,Schalke 04,Fortuna Dusseldorf,3,3,D,BUN14,BUN5,Gelsenkirchen,,51.517744,7.085717199999999,44
95,D1,2019-11-09,17:30,Bayern Munich,Dortmund,4,0,H,BUN1,BUN2,Munich,,48.1351253,11.5819805,40
96,D1,2019-11-10,12:30,Gladbach,Werder Bremen,3,1,H,BUN11,BUN16,Monchengladbach,,51.1804572,6.4428041,45
97,D1,2019-11-10,14:30,Wolfsburg,Leverkusen,0,2,A,BUN17,BUN9,Wolfsburg,,52.4226503,10.7865461,42
98,D1,2019-11-10,17:00,Freiburg,Ein Frankfurt,1,0,H,BUN6,BUN3,Freiburg,,47.9990077,7.842104299999999,41
99,D1,2019-11-22,19:30,Dortmund,Paderborn,3,3,D,BUN2,BUN12,Dortmund,,51.5135872,7.465298100000001,46
100,D1,2019-11-23,14:30,Ein Frankfurt,Wolfsburg,0,2,A,BUN3,BUN17,Frankfurt,,50.1109221,8.6821267,45
101,D1,2019-11-23,14:30,Fortuna Dusseldorf,Bayern Munich,0,4,A,BUN5,BUN1,Dusseldorf,,51.2277411,6.7734556,47
102,D1,2019-11-23,14:30,Leverkusen,Freiburg,1,1,D,BUN9,BUN6,Leverkusen,,51.04592479999999,7.0192196,47
103,D1,2019-11-23,14:30,Union Berlin,Gladbach,2,0,H,BUN15,BUN11,Berlin,,52.52000659999999,13.404954,47
104,D1,2019-11-23,14:30,Werder Bremen,Schalke 04,1,2,A,BUN16,BUN14,Bremen,,53.07929619999999,8.8016936,44
105,D1,2019-11-23,17:30,RB Leipzig,FC Koln,4,1,H,BUN13,BUN4,Leipzig,,51.3396955,12.3730747,46
106,D1,2019-11-24,14:30,Augsburg,Hertha,4,0,H,BUN0,BUN7,Augsburg,,48.3705449,10.89779,46
